言語コード,言語,言語(英語)
af,アフリカーンス語,afrikaans
sq,アルバニア語,albanian
am,アムハラ語,amharic
ar,アラビア語,arabic
hy,アルメニア語,armenian
az,アゼルバイジャン語,azerbaijani
eu,バスク語,basque
be,白ロシア語；ベラルーシ語,belarusian
bn,ベンガル語,bengali
bs,ボスニア語,bosnian
bg,ブルガリア語,bulgarian
ca,カタロニア語,catalan
ceb,セブアノ語,cebuano
ny,チェワ語；ニャンジャ語,chichewa
zh-cn,中華人民共和国の中国語(簡体字),chinese (simplified)
zh-tw,台湾の中国語(繁体字),chinese (traditional)
co,コルシカ語,corsican
hr,クロアチア語,croatian
cs,チェコ語,czech
da,デンマーク語,danish
nl,オランダ語,dutch
en,英語,english
eo,エスペラント語,esperanto
et,エストニア語,estonian
tl,タガログ語,filipino
fi,フィンランド語,finnish
fr,フランス語,french
fy,フリジア語；西フリジア語,frisian
gl,ガリシア語,galician
ka,ジョージア語,georgian
de,ドイツ語,german
el,現代ギリシア語,greek
gu,グジャラート語,gujarati
ht,ハイチ語；ハイチ・クレオール語,haitian creole
ha,ハウサ語,hausa
haw,ハワイ語,hawaiian
he,ヘブライ語,hebrew
hi,ヒンディー語,hindi
hmn,フモン語,hmong
hu,ハンガリー語；マジャル語,hungarian
is,アイスランド語,icelandic
ig,イグボ語；イボ語,igbo
id,インドネシア語,indonesian
ga,アイルランド語,irish
it,イタリア語,italian
ja,日本語,japanese
jw,ジャワ語,javanese
kn,カンナダ語,kannada
kk,カザフ語,kazakh
km,カンボジア語；クメール語,khmer
ko,韓国語；朝鮮語,korean
ku,クルド語,kurdish (kurmanji)
ky,キルギス語,kyrgyz
lo,ラオ語,lao
la,ラテン語,latin
lv,ラトビア語,latvian
lt,リトアニア語,lithuanian
lb,ルクセンブルク語,luxembourgish
mk,マケドニア語,macedonian
mg,マラガシ語,malagasy
ms,マレー語,malay
ml,マラヤーラム語,malayalam
mt,マルタ語,maltese
mi,マオリ語,maori
mr,マラーティー語,marathi
mn,満州語；モンゴル語,mongolian
my,ビルマ語；ミャンマー語,myanmar (burmese)
ne,ネパール語,nepali
no,ノルウェー語,norwegian
or,オリヤー語,odia
ps,パシュトー語,pashto
fa,ペルシア語,persian
pl,ポーランド語,polish
pt,ポルトガル語,portuguese
pa,パンジャーブ語,punjabi
ro,ルーマニア語,romanian
ru,ロシア語,russian
sm,サモア語,samoan
gd,高地スコットランド・ゲール語,scots gaelic
sr,セルビア語,serbian
st,南ソト語,sesotho
sn,ショナ語,shona
sd,シンド語,sindhi
si,シンハラ語,sinhala
sk,スロバキア語,slovak
sl,スロベニア語,slovenian
so,ソマリ語,somali
es,スペイン語；カスティーヤ語,spanish
su,スンダ語,sundanese
sw,スワヒリ語,swahili
sv,スウェーデン語,swedish
tg,タジク語,tajik
ta,タミル語,tamil
te,テルグ語,telugu
th,タイ語,thai
tr,トルコ語,turkish
uk,ウクライナ語,ukrainian
ur,ウルドゥー語,urdu
ug,ウイグル語,uyghur
uz,ウズベク語,uzbek
vi,ベトナム語,vietnamese
cy,ウェールズ語,welsh
xh,コサ語,xhosa
yi,イディッシュ語,yiddish
yo,ヨルバ語,yoruba
zu,ズールー語,zulu
